Name,Subject,Number,Credits,Description,Restrictions
RELS 3137 - Religion in the African American Experience,RELS,3137,,"An introduction to the evolution of black religious thought and culture in America during the 20th century.  Emphasizes the rise of the local black church and its expanding role within African American urban communities.  Also addresses the emergence of other religious belief systems in contemporary African American culture, such as Voodoo, Santeria, Spiritist churches, the Nation of Islam and even Black Judaism.  Issues of race, class, gender, identity, and violence are points of discussion in light of black religious life. Fulfills the [C] or [H] requirement.",
RELS 3150 - African American Church and Civil Rights,RELS,3150,,"Role of the African American church in the struggle for human equality. Topics such as radical, moderate, and accommodationist leadership styles; historical development of the Black Church in the South; and the Black Church’s emergence as a foundation for modern civil rights movement.  Fulfills the [C] or [H] requirement.",
RELS 3206 - Religion and Food,RELS,3206,,"Explores the relationship between religion and food by examining the role food plays in various religious traditions, as well as the construction of food as an ethical category. Fulfills the [C] requirement .",
RELS 3207 - Religion and Politics,RELS,3207,,"The historic and ongoing interactions between religion and politics. Topics include: the public representation of religion; the religious and political institutions that shape religious presence in the public sphere; constructions of the sacred and the secular in political ideologies; and class, gender, and race in the context of political religions and religious politics. Fulfills the [H] or [C] requirement.",
RELS 3208 - Religion and the Arts,RELS,3208,,"Examines the web of relationships between religion and the arts by exploring both religious theories of beauty and art, as well the impact that religious traditions have had on cultural and artistic production. Fulfills the [C] or [H] requirement.",
RELS 3210 - Religion and Popular Culture,RELS,3210,,"An examination of the interactions and intertwining of religion and popular culture. Topics may include, but are not limited to, popular literature, domestic rituals, material and visual cultures, space and place, fan cultures, media, and folklore. Emphasis on how religion and popular culture shape and are shaped by issues of identity, community, nostalgia, memory, commercialism, capitalism, power, and meaning. Fulfills the [C] or [T] requirement.",
"RELS 3212 - Religion, Media, and Film",RELS,3212,,"An examination of the historical and contemporary intertwining of religion and various forms of media that may include print, television, film, and online case studies. Fulfills the [C] or [T] requirement.",
RELS 3214 - Religion and Healing,RELS,3214,,"Examines the ways that ethnographic methods can be employed to make sense of medicine, magic, illness, spiritual affliction, and healing across diverse social, cultural, and political contexts. What counts as illness?  Who decides which modes of healing are legitimate?  These questions introduce students to encounters between religion and medicine, both broadly defined. Fulfills the [C] requirement.",
RELS 3215 - Religion and Sexuality,RELS,3215,,"An examination of the role of religious discourses and practices in shaping, understanding and evaluating sexual practices, desires and identities. Fulfills the [C] or [T] requirement.",
RELS 3217 - The Bible and Homosexuality,RELS,3217,,"Considers a wide range of biblical texts that are referenced in political, cultural, and theological arguments concerning homosexuality, lesbian and gay civil rights, and same-sex marriage. Examines how both pro-gay and anti-gay interpreters have engaged biblical texts and invoked biblical authority across time, rather than determining which views are “right” or “wrong.”",
RELS 3220 - Religion and Gender,RELS,3220,,"An examination of the role of religious discourses and practices in shaping, regulating and evaluating masculine identities and practices. Fulfills the [C] or [T] requirement.",
RELS 3225 - Religion and Race,RELS,3225,,"An examination of the historical and theoretical influence of religion upon racial identity, discrimination, and stratification in society. Fulfills the [H] or [C] requirement.",
"RELS 3230 - Race, Religion, and Murder",RELS,3230,,"An introduction to the intersection of race, religion, and violence in American culture.  Addresses how Judeo- Christian, Islamic, and Asian traditions have been used to justify and even condone acts of violence against women, children, and peoples of color. Fulfills the [C] or [T] requirement.",
RELS 3232 - Islam in the African American Experience,RELS,3232,,"An examination of the historical practices of Islam and its varied forms within African American culture.  A key component of the course centers around the narratives of Noble Drew Ali, Elijah Muhammad, Malcolm X, Warith Deen Mohammed, and Louis Farrakhan.  Also has a gendered component looking at the leadership of black women within Islam, the Nation of Islam, and Moorish Science. Fulfills the [C] or [H] requirement.",
RELS 3235 - Muslims in America,RELS,3235,,Explores the history of Islam in North America. Fulfills the [C] or [H] requirement .,
RELS 3238 - Asians in the Americas,RELS,3238,,Examines the history of Asian migration to the U.S. and the religious communities they have established. Fulfills the [C] or [H] requirement .,
RELS 3242 - Philosophy of Religion,RELS,3242,,"Philosophical implications of religious experience, including the definitions, development, and diverse forms of the problems of belief and reason in modern thought. Fulfills the [C] or [T] requirement.",
"RELS 3244 - Natural, Unnatural, Supernatural",RELS,3244,,Does God exist? What are God’s attributes? Do miracles happen? Is there life after death? Where does evil come from in a world created “good”? What is “the human condition”? This course sets these questions in historical perspective in the West but focuses primarily on answers proposed by modern thinkers.,
RELS 3260 - Buddhism in the Modern World,RELS,3260,,"Evaluates a variety of perennial questions about Buddhism in the modern world: Is Buddhism a philosophy? A mind science? An ancient mystical path? A modern construct? A wide range of primary source materials are used to examine how these works shape Buddhism. We consider their pre-modern influences and turn to recent scholarship to discuss how romantic, imperialist, anti-modern, nationalist, therapeutic, and scientific frames depict one of today’s most popular religions. Fulfills the [C] or [T] requirement.",
RELS 3270 - Interpreting Asian Religions,RELS,3270,,"Students learn to read, understand, and analyze sources from Asian religious traditions and critique the ways in which Asians traditions have been studied in the discipline of religion. Fulfills the [H] or [T] requirement.",
RELS 3300 - Religion and Healing,RELS,3300,,"An examination of practices of healing and their concomitant discourses of illness, health, body, society, and cosmos across selected religious and secular traditions. Fulfills the [C] or [T] requirement.",
RELS 3400 - Internships,RELS,3400,,"Research and in-service training in business or community-based organizations. Specific content based on contract between student, supervising professor and cooperating organization. Fulfills the [C], [H], or [T] requirement. Approximately 120 contact hours for the semester.","Religious Studies major or minor, and permission of instructor."
RELS 3450 - Study Abroad for Religious Studies Majors,RELS,3450,,"The examination of an approved topic in the context of study abroad. Fulfills the [C], [H], or [T] requirement.",Permission of department.
RELS 4000 - Advanced Topics in Religious Studies,RELS,4000,,"Advanced Topics in Religious Studies. Fulfills the [C], [H], or [T] requirement.",Permission of instructor.
RELS 4010 - Major Figure in Religious Studies,RELS,4010,,"A focused examination of the life and works of a major figure, or small set of related figures, and their significance for the study of religion.. Fulfills the [H] or [T] requirement.",
RELS 4040 - Major Approach to the Study of Religion,RELS,4040,,"A focused examination of an influential classic or contemporary approach to the study of religion, or small set of related approaches.  Focuses on close reading of primary texts and developing students’ critical engagement with the texts, through writing and discussion. Fulfills the [C] or [T] requirement.",
RELS 4101 - The Other Cheek: From Christian Disdain to the Organized Destruction of Europe Jews,RELS,4101,,"Jews as deicides, ritual murderers, agents of Satan, international conspirators, conniving Shylocks, financial manipulators, sub-human - is the western world’s collective mythology about Jews a deeply rooted cultural pathology?  How does one distinguish prejudice, Jew-hatred, and anti-Semitism, and on what theoretical basis? Did anti-Semitism pre-date the emergence of Christianity? This course addresses these questions and more.  In the process, students assess - and perhaps co-create - theories about the nature of European anti-Semitism. Fulfills the Cultural [C] or Textual [T] requirement.",
RELS 4107 - Early Judaism,RELS,4107,,"Comparative historical and literary study of the varieties of Judaism evidenced during late antiquity , with special attention devoted to the information and development of rabbinic Judaism. Fulfills the [H] or [T] requirement.",
RELS 4121 - Medieval and Reformation Christianity,RELS,4121,,An examination of Christian thought and practice from the early Middle Ages  through the reformations of the sixteenth century. Fulfills the [H] or [T] requirement.,
RELS 4155 - Religion and Social Change in Latin America,RELS,4155,,"Examines the role that religion has played in the changing social, political, and economic landscape of Latin America from the colonial period through the present. Fulfills the [C] or [H] requirement .",
RELS 4310 - Religious Experience,RELS,4310,,Examines different approaches to narratives of religious experience in order to practice how these narratives are used to understand religion in society. Fulfills the [C] or [T] requirement .,
RELS 4320 - Religion and Language,RELS,4320,,"Introduces methods for analyzing language and communication in religion. By looking closely at specific communities’ uses of spoken and written language, as well as their discourses about language, students critically examine the roles that language plays in constituting people’s religious experiences, and how these, in turn, can be said to shape people’s communicative practices. Fulfills the [C] requirement .",
RELS 4600 - Senior Seminar,RELS,4600,,Required of Religious Studies majors in their final year of studies.,
RELS 4657 - Religion in Africa,RELS,4657,,"A seminar course that offers a historically and ethnographically situated overview of contemporary issues in African religiosity. Topics include: missionization; religion in pan-African nationalism and decolonization movements; debates over monotheism and Traditional African Religion; the shifting parameters of Christianity and Islam; sorcery, witchcraft, conspiracy; divination and mediumship; human encounters with ghosts and spirits; medicine and healing; and more. Fulfills the [C} or {H] requirement.",
RELS 4701 - Method and Theory in the Study of Religion,RELS,4701,,A close examination of primary texts representing influential classical and contemporary approaches to the study of religion. Attention given to student writing and oral presentation skills. Optional for honors students. Fulfills the [C] or [T] requirement.,
RELS 4790 - Honors Thesis Proposal and Candidacy,RELS,4790,,Honors thesis proposal and candidacy preparation. Prospective Religious Studies Honors students take this course the semester before graduation to be eligible for RELS 4791 .,
RELS 4791 - Honors Thesis,RELS,4791,,Required of all honors students.,Permission of instructor and approval of a proposal through the Honors College Application to Candidacy process the semester prior to taking the course.
RELS 4800 - Independent Studies,RELS,4800,,An independent studies course in religious studies.,Permission of instructor.
RESP 3099 - Special Topics in Respiratory Therapy: Emerging Respiratory Therapy Literature,RESP,3099,,"An introduction to the emerging issues, trends, and news of respiratory therapy. Topics include: evidence-based literature reviews related to respiratory therapy professional practice. Topics and emphasis may vary.",
RESP 3101 - Leadership Practices and Professional Writing for Respiratory Therapists,RESP,3101,,"A basic introduction to leadership by focusing on the history, trends, issues, and evolution of the respiratory therapy profession. Emphasis is placed on the practice of leadership, analysis of the professional environment for the current and future practice of respiratory care, and communication skills to improve leadership performance. Various topics assist students in becoming confident respiratory therapy advocates through their writing.",Admission to BSRT program
RESP 3102 - Extended Services in Respiratory Therapy,RESP,3102,,"A basic introduction into the history, trends, issues, and evolution of respiratory care extended services. Emphasis is placed on outpatient services reimbursement within the respiratory therapy profession. Topics include: selected respiratory care theories and practices in alternate healthcare sites such as virtual services, outpatient cardiopulmonary rehabilitation, interventional pulmonology, DME services, pulmonary diagnostics, sales/clinical specialties, cardiopulmonary disease education, home care, and sub-acute care.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3103 - Role of Pharmacology in Disease Management,RESP,3103,,A disease management approach to patient care with an emphasis on the role of pharmacology in disease management. Builds upon a basic understanding of the concepts and principles of pharmacology as applied in the respiratory therapy in the management of patient with cardiopulmonary disease and critical care.,Admission to B.S.R.T. in Respiratory Therapy program
RESP 3105 - Advanced Critical Care Monitoring,RESP,3105,,"A study of advanced cardiopulmonary monitoring used with critical care patients. Topics include: hemodynamic monitoring, mechanical ventilator waveform graphic analysis, and capnography.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3108 - Introduction to Research Methods in Respiratory Therapy,RESP,3108,,"Designed to highlight foundational concepts of research methods and assist in the development of the skills necessary to plan, conduct, evaluate, and analyze quantitative and qualitative research from an interdisciplinary perspective.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3203 - Cardiopulmonary Pharmacotherapy I,RESP,3203,,"An introduction to an integrated, case-based evaluation of the physiology, pathophysiology, and pharmacology in the treatment and management of cardiopulmonary disorders. Topic emphasis on disorders that can compromise the cardiopulmonary system.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3204 - Advanced Cardiopulmonary Physiology,RESP,3204,,"Advanced physiology of the cardiovascular and pulmonary systems. A study of respiratory physiology, cardiac and circulatory function with relevant clinical application of concepts in cell biology, regulation and function of the cardiovascular system, gas exchange and transport, breathing regulation, and respiratory insufficiency.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3205 - Cardiopulmonary Pharmacotherapy,RESP,3205,,"An integrated, case-based evaluation of the physiology, pathophysiology, and pharmacology in the treatment and management of cardiopulmonary disorders.  Topic emphasis on using a whole-system approach to patient care and the use of pharmacology in cardiopulmonary disease management.",
RESP 3206 - Critical Care Monitoring and Mechanical Ventilation,RESP,3206,,"Introduction to advanced topics in critical care, expressed through a holistic approach to the monitoring of critically ill patients. Introduction of monitoring modalities that are commonly utilized in critical care, analysis of lab values and their significance, and association with interventions that the critical care respiratory therapist encounters during clinical practice.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 3207 - Critical Care Monitoring and Mechanical Ventilation II,RESP,3207,,"Introduction to advanced topics in mechanical ventilation expressed through a holistic approach to the management of critically ill patients.  Various modalities of positive pressure ventilation, as well as adjunct measurement tools, are presented to provide an up-to-date perspective on mechanical ventilation and patient care.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4101 - Health Outcomes and Quality Assessment,RESP,4101,,"Evidence-based methods and techniques to design, implement, and evaluate healthcare quality control/improvement initiatives, and patient and population education programs.",
RESP 4102 - Department Management in the Healthcare Environment,RESP,4102,,"Administration, financial, human resource, legal, and policy concepts and issues in outpatient, inpatient, public, and private sector settings. Topics and emphases may vary.",
RESP 4103 - Evidence-Based Practice in Respiratory Care,RESP,4103,,An introduction to the concept of evidence-based practice and an opportunity to acquire the skills necessary to be able to incorporate evidence and best practices into professional work. These include an understanding of research methods and the approach to critical appraisal of research literature. This is a writing-intensive course with emphasis on written professional communication.,Admission to B.S.R.T. in Respiratory Therapy program
RESP 4105 - Patient Education and Disease Management for the Respiratory Therapist,RESP,4105,,A review of the pathophysiology of common chronic cardiopulmonary diseases.  Develop an understanding of evidenced-based disease management principles.  Understand how to develop and implement disease management and patient education programs in the in-patient and out-patient setting.,Admission to B.S.R.T. in Respiratory Therapy program
RESP 4106 - Neonatal/Pediatric Critical Care Pathophysiology,RESP,4106,,"A review of fetal development and circulation related to acute and chronic neonatal disease.  A survey of neonatal and pediatric disease processes which affect tissues, organs, and body as a whole.  Special emphasis is placed on the etiology of critical illness and a systems oriented approach to diagnosis and treatment in the neonatal and pediatric critical care settings.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4107 - Teaching Fundamentals and Clinical Education,RESP,4107,,"Application of curricular theory to best practices in the classroom, disease management, and patient education settings.  Planning for instruction and evaluation of respiratory therapy-related learning are focal points of this experience.  Offers an introduction to the systematic process of planning for effective instruction and assessment as they relate to various clinical curricular concepts.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4108 - Healthcare Outcomes and Quality Assessment: A Management Perspective,RESP,4108,,"A basic introduction to the administrative, financial, legal, and policy concepts and issues in outpatient, inpatient, public, and private sector healthcare settings. Topics include: evidence-based methods and techniques in designing, implementing, and evaluating healthcare quality control and improvement initiatives.",Admission to B.S. in Respiratory Therapy
RESP 4111 - Respiratory Therapy Capstone,RESP,4111,,"Experiences in a chosen focus area . It culminates with a capstone project in the form of research, or other scholarly activity that articulates the design, organization, statistics and data analysis used, and includes an oral and written presentation of the project.",
RESP 4204 - Adult Critical Care Pathophysiology,RESP,4204,,"A survey of the adult disease processes which affect the tissues, organs, or body as a whole. Special emphasis is placed on the etiology of critical illness and a systems-oriented approach to diagnosis and treatment in the critical care setting.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4205 - Information Technology in Respiratory Care,RESP,4205,,"A study of the use of computer and information technology in healthcare.  Emphasis placed on development of the knowledge and competencies necessary for selective use and evaluation of informatics, computer technology, and data management in healthcare.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4206 - Health Communications: Ethical and Legal Implications,RESP,4206,,"Focuses on the essential principles for respiratory therapists and other healthcare providers. Many ethical and legal issues that respiratory therapists may encounter in patient care settings are explored.  Additional content includes discussions on professional moral dilemmas and ethical theories, which are used to illustrate principles that guide ethical decision-making.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4208 - Critical Care Pathophysiological Concepts for Respiratory Therapy,RESP,4208,,"Designed to survey neonatal, pediatric, and adult disease processes which affect the tissues, organs, or body as a whole. Special emphasis is placed on the etiology of critical illness and a systems-oriented approach to diagnosis and treatment in the critical care setting.",Admission to B.S.R.T. in Respiratory Therapy program
RESP 4410 - Respiratory Therapy Practicum,RESP,4410,,Experiences in a chosen focus area . Emphasis is placed on experiential learning that results in expansion of responsibilities or transition into a new role or specialty area within the work environment.,
RESP 4910 - Respiratory Therapy Capstone Project,RESP,4910,,"Includes experiences in a chosen focus area . Culminates in a respiratory therapy-related capstone project in the form of research, or other scholarly activity that articulates the design, organization, implementation, statistics, and data analysis used, and includes an oral and written presentation of the project.",Admission to B.S.R.T. in Respiratory Therapy program
RUSS 1201 - Elementary Russian I,RUSS,1201,,"Fundamentals of the Russian language, including speaking, listening comprehension, reading, and writing.",
RUSS 1202 - Elementary Russian II,RUSS,1202,,"Fundamentals of the Russian language, including speaking, listening comprehension, reading, and writing.",
RUSS 2201 - Intermediate Russian I,RUSS,2201,,"Review of grammar, with conversation and composition based upon readings in Russian culture and civilization.",
RUSS 2202 - Intermediate Russian II,RUSS,2202,,"Continuation of grammar, conversation, and composition skills, based on readings in Russian literature.",
RUSS 3060 - Topics in Russian,RUSS,3060,,"Study of a particular facet of the Russian language, culture, or literature.  Conducted in English. No knowledge of Russian required.",
RUSS 3061 - Topics in Russian,RUSS,3061,,"Study of a particular facet of the Russian language, culture, or literature. Conducted in English. No knowledge of Russian required.",
"RUSS 3201 - Advanced Russian Grammar, Composition, and Conversation I",RUSS,3201,,"Intensive review of Russian grammar, plus mastery of new grammatical structures, while performing written and oral task-oriented activities. Acquisition of new vocabulary in a cultural context.",
"RUSS 3202 - Advanced Russian Grammar, Composition, and Conversation II",RUSS,3202,,"Intensive practice of Russian grammar, speaking, and writing. Additional Russian civilization and culture as students improve their language skills.",
RUSS 3203 - Advanced Russian Grammar and Conversation,RUSS,3203,,"Advanced Russian grammar and conversation on prepared topics. Emphasis on vocabulary, idiomatic expressions, and stylistics.",
RUSS 3204 - Masterpieces of Russian Literature,RUSS,3204,,"Examines the greatest authors and masterpieces of Russian literature, including Tolstoy, Dostoevsky, and Chekhov.  All readings, discussions, and assignments are conducted in English.  No knowledge of Russian required.",
RUSS 3209 - Russian Civilization and Culture,RUSS,3209,,"Geographical, historical, and artistic features of Russian culture, as well as aspects of life, thought, behavior, attitudes, and customs of the Russian-speaking people.  Lectures, discussions, and viewing of films.  Conducted in English.  No knowledge of Russian required.",
RUSS 3800 - Directed Individual Study,RUSS,3800,,Individual work on a selected area of study.  To be arranged with the instructor during the preceding semester.,By special permission only.
COSC 2600 - LEADS Colloquium,COSC,2600,,"An introduction to LEADS focused on providing opportunities for students to engage with the key pillars of LEADS.  It is conducted in the context of real-world thinking and activities designed to help students understand what leadership is, how it can be cultivated, and how leaders can use creative problem solving to move from ideas to causing action. Through a series of highly personalized activities, the course emphasizes initiative, adaptability, creativity, critical questioning, and problem solving. Reflective learning and the development of communication skills are central to this course experience. Upon successful completion of this course, students should be able to display attitudes, skills, and behaviors that are needed to succeed academically, personally and professionally.  Students gain practice and knowledge around communication, critical thinking, collaboration, creativity, and careers.  Developing and practicing these core competencies, called the 5 C’s, contribute to the student’s overall personal and academic brand, confidence level around their academic path, and their connection to the UNC Charlotte and LEADS culture and community.",
COSC 3000 - Topics in Science,COSC,3000,,Topics chosen from the general area of the sciences in order to demonstrate relationships and interdisciplinary influences. Can be used toward general degree requirements as indicated each time the course is offered.,"Sophomore, Junior, or Senior standing"
COSC 3400 - Non-Residential Studies,COSC,3400,,"Experience outside the University which provides an alternative learning opportunity to broaden understanding of the major and provide an introduction to various careers. All arrangements for non-residential study must be approved in advance and include a written proposal of goals, methods, duration, hours credit, and evaluation procedures. The University Career Center is available to assist students to locate appropriate work experiences. Student projects will be approved, supervised, and evaluated within the student’s major department. Grading by a faculty advisor may be on a Pass/No Credit basis, ordinarily to be taken in the Junior or Senior year. No more than 15 credit hours of non-residential studies may be presented toward a degree.  Contact major department or University Career Center for information.",Junior or Senior standing
COSC 4800 - LEADS Capstone Project,COSC,4800,,"The capstone experience for completion of the Undergraduate Certificate in Leadership, Innovation, Diversity, and Technology.  Students are expected to demonstrate their professional experience, growth, and development through the LEADS certificate program in an electronic portfolio format.",Senior standing and permission of department
SECD 3800 - Individual Study in Secondary Education,SECD,3800,,Independent study under the supervision of an appropriate faculty member.,Permission of the student’s advisor.
SECD 4140 - Adolescence and Secondary Schools,SECD,4140,,"Overview of secondary education, including the foundational components and instructional programs appropriate for contemporary adolescents in a diverse U.S. society.",
SECD 4440 - Student Teaching/Seminar: 9-12 Secondary Education,SECD,4440,,"Student teaching is a planned sequence of experiences in the student’s area of specialization conducted in an approved school setting under the supervision and coordination of a university supervisor and a clinical educator. During student teaching, the student must demonstrate the competencies identified for their specific teaching field in an appropriate grade level setting. The student is assigned 15 weeks in a school setting. Includes seminars. Participating students pay a course registration fee for edTPA portfolio assessment.",Permission of department for admission to student teaching
SECD 4452 - Student Teaching/Seminar: 9-12 Secondary Math,SECD,4452,,"Student teaching is a planned sequence of experiences in the student’s area of specialization conducted in an approved school setting under the supervision and coordination of a university supervisor and a clinical educator. During student teaching, the student must demonstrate the competencies identified for their specific teaching field in an appropriate grade level setting. The student is assigned 15 weeks in a school setting. Includes seminars. Participating students pay a course registration fee for edTPA portfolio assessment.",Departmental permission for admission to student teaching.
SECD 4453 - Student Teaching/Seminar: 9-12 Secondary Science,SECD,4453,,"Student teaching is a planned sequence of experiences in the student’s area of specialization conducted in an approved school setting under the supervision and coordination of a university supervisor and a clinical educator. During student teaching, the student must demonstrate the competencies identified for their specific teaching field in an appropriate grade level setting. The student is assigned 15 weeks in a school setting. Includes seminars. Participating students pay a course registration fee for edTPA portfolio assessment.",Departmental permission for admission to student teaching.
SECD 4454 - Student Teaching/Seminar: 9-12 Secondary Social Studies,SECD,4454,,"Student teaching is a planned sequence of experiences in the student’s area of specialization conducted in an approved school setting under the supervision and coordination of a university supervisor and a clinical educator. During student teaching, the student must demonstrate the competencies identified for their specific teaching field in an appropriate grade level setting. The student is assigned 15 weeks in a school setting. Includes seminars. Participating students pay a course registration fee for edTPA portfolio assessment.",Departmental permission for admission to student teaching.
SOWK 1101 - The Field of Social Work,SOWK,1101,,"Introduction to social work, social science methods, analysis of contemporary issues, and evaluation of the interconnections of individual, society, and culture. May not be taken for credit and for a grade if credit has been received for SOWK 1511 .",
SOWK 1111 - Social Work and the Black Agenda,SOWK,1111,,"This course will enhance students’ understanding of social work and how the profession addresses issues within the black community. Definitions and theories that provide the structure of social work practice will be discussed. Topics include social work competencies, assessment of major institutions, and tools for advocacy.",
SOWK 1511 - Local Social Science: The Field of Social Work,SOWK,1511,,"All Local Theme courses explore the central, unifying question of what it means to be a member of the “local” community in which we live. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation, students will be able to better understand themselves in the context of the complex and diverse society in which we live. As representatives of the profession and its mission, social workers know the profession’s history, values, and ethical standards. This course introduces the students to these topics. In addition, this course provides an interdisciplinary overview of the populations and where practice areas social workers serve, the educational requirements to become a social worker, and the options for certification and licensure. May not be taken for credit and for a grade if credit has been received for SOWK 1101 .",
SOWK 2182 - Human Behavior in the Social Environment I,SOWK,2182,,"Human development within the biological, psychological, and social structure as it occurs throughout the lifespan.",Social Work major.
SOWK 2183 - Human Behavior in the Social Environment II,SOWK,2183,,"The foundational framework for understanding human interaction between individuals, families, communities, and larger social systems.",Social Work major.
SOWK 2184 - Writing for the Social Work Profession,SOWK,2184,,An introduction to writing for the social work profession.,
SOWK 3090 - Topics in Social Work,SOWK,3090,,Specialized topics in social work.,
SOWK 3120 - Diversity and Populations-at-Risk,SOWK,3120,,"Analysis of issues of race, ethnicity, gender, sexual orientation, social class, age, and ability within social work practice.",Upper-Division Social Work major
SOWK 3133 - Community Engagement and Outreach,SOWK,3133,,"Students engage in experiential learning in order to effectively prepare for social work practice with vulnerable populations, and specifically to enhance their ability to build relationships and facilitate access.",Upper-Division Social Work major
SOWK 3180 - Case Management,SOWK,3180,,"An introduction to effective case management skills in the profession of social work.  Students develop skills to create client-centered service plans, link clients to resources, and case documentation.  Students are required to demonstrate the core competencies of social work case management.",Upper-Division Social Work standing
SOWK 3181 - Practice Methods I,SOWK,3181,,Development of competencies within generalist social work practice methods with an emphasis on working with individuals.,Upper-Division Social Work major
SOWK 3182 - Practice Methods II,SOWK,3182,,Development of competencies within generalist social work practice methods with an emphasis on working with families and groups.,Upper-Division Social Work major
SOWK 3184 - Practice Methods III,SOWK,3184,,Development of competencies within generalist social work practice methods with an emphasis on working with communities and large systems.,Upper-Division Social Work major
"SOWK 3199 - Professional Behaviors, Ethics, and Communication",SOWK,3199,,"Issues related to professional values, professional identity, continual learning, and best practices for social workers in a variety of practice situations.",Upper-Division Social Work major
SOWK 3201 - Foundations of Social Welfare,SOWK,3201,,"History of and current trends in social welfare, and values and conflicts that influence social welfare programming.",Upper-Division Social Work major
SOWK 3202 - Social Welfare Policy,SOWK,3202,,"Critical analysis of social welfare policy, including policy development and reform processes and outcomes.",Upper-Division Social Work major
SOWK 3482 - Social Work Practicum I,SOWK,3482,,Students complete an approved supervised field experience for 16 hours per week. Students concurrently participate in a field seminar to reinforce and enhance their field experience.,Upper-Division Social Work major
SOWK 3484 - Social Work Practicum II,SOWK,3484,,Students complete an approved supervised field experience for 16 hours per week.  Students concurrently participate in a field seminar to reinforce and enhance their field experiences.,Upper-Division Social Work major
SOWK 3895 - Directed Individual Study,SOWK,3895,,Supervised investigation of a special problem or area of practice.,Upper-Division Social Work major
SOWK 3900 - Social Work Research I,SOWK,3900,,Introduction to research methods and skills used in social work.,Upper-Division Social Work major
SOWK 3988 - Social Work Research II,SOWK,3988,,Quantitative and qualitative research and the understanding of scientific and ethical approaches to building knowledge.,Upper-Division Social Work major
SOWK 4090 - Topics in Social Work,SOWK,4090,,Specialized topics in social work.,
SOWK 4101 - Social Work Practice with Older Adults,SOWK,4101,,"Social work practice with older adults with an emphasis on assessment, intervention planning, and implementation.",Permission of department.
SOWK 4102 - School Social Work,SOWK,4102,,"Provides a foundation for preparation as a school social worker.  For students who are currently employed as school social workers, this course enhances and broadens communication, engagement, and assessment skills.",Admission into the Upper Division BSW Program or permission of the BSW Program Coordinator.
SOWK 4103 - Child Welfare,SOWK,4103,,"Examination of the history, purpose, and goals of child welfare services in North Carolina and in the United States.  Course information is provided from the context of the child- and family-centered model that guides child welfare services.",Admission into the Upper Division BSW Program or permission of the BSW Program Coordinator.
SOWK 4105 - Mental Health and Substance Use,SOWK,4105,,Increases awareness of mental health and substance abuse issues with both macro and micro practices being highlighted.  Students are empowered to engage as agents of change for those vulnerable populations affected by mental illness and/or substance use disorders.,
SOWK 4106 - Social Work Practice with Latino Communities,SOWK,4106,,"Enhances knowledge, values, and skills with regard to social work practice with Latino communities.  Integrates an experiential education component, including a combination of class, community, and independent work.",
SOWK 4109 - Systems of Care for Vulnerable Populations,SOWK,4109,,"Focuses on engaging diversity and difference in practice in relation to social work skills with individuals, families, and groups.",
SOWK 4110 - Social Work Practice with Immigrants and Refugees,SOWK,4110,,"Development of the skills, knowledge, values, and critical thinking capacity to practice social work with immigrants and refugees. Students: 1) describe historical and theoretical perspectives of migration, 2) analyze the intersection of migration with core areas of social work practice, including child welfare, criminal justice, education, mental health, and health systems, and 3) develop culturally responsive advocacy efforts and intervention strategies to improve immigrant and refugee well-being.",
SOWK 4114 - Social Work to Improve LGBT+ Health & Well-Being,SOWK,4114,,"A system-level examination of social work practice and its impact on the health and well-being of LGBT+ community. This course will explain the diverse roles, functions, and skills of social workers that impact the health and well-being of the LGBTQ+ Community, describe the history and challenges of the LGBTQ+ Community, and evaluate past and current macro level changes that advance equity in the LGBTQ community including societal attitudes, beliefs, laws, and policies.",
SOWK 4125 - Social Development in Malawi,SOWK,4125,,Students actively participate in several pre-departure class lectures and work sessions.  They travel to Malawi for 11 days and engage in service-learning activities aligned with social development in rural Malawi.  Experiential projects are designed and implemented by students using funds they raise.  Sustainability and anti-oppressive approaches to social development are highlighted.,
SOWK 4126 - Health and Well-Being in India,SOWK,4126,,Health and well-being in India.,
SOWK 4280 - The Experience of Dementia,SOWK,4280,,"An overview of Alzheimer’s disease and related dementias with a focus on the biological, neurological, and social aspects of these diseases. Students will gain a holistic insight into these diseases and their implications for both individuals and society.",
SOWK 4353 - Environments for Aging,SOWK,4353,,"With roots in environmental psychology, this course explores the ways in which older adults experience and interact with their physical environment at both the macro and micro levels. Students will be introduced to the Americans with Disabilities Act, Universal Design, Age-Friendly communities, and housing options for older adults. This course will examine these programs from a national and local viewpoint.",
